1983,3531
1992,7897
1990,7218
1988,8887
1989,9196
1988,9192
1992,2024
1990,2633
1992,1697
1986,8122
1987,5765
1989,7288
1995,4642
1986,4815
1989,3289
1987,6725
1991,0966
1986,2383
1995,8489
1985,6987
1988,4006
1989,8544
1989,6992
1987,0998
1993,2061
1987,7116
1990,2141
1992,1865
1988,8526
1986,0772
1990,9699
1988,335
1988,5635
1990,4904
1989,7238
1989,4128
1990,5345
1994,5534
1991,2595
1988,1352
1989,0077
1991,1676
1991,1334
1987,9681
1991,6769
1987,9823
1987,8968
1990,816
1988,4476
1988,1754
1992,2884
1987,0836
1988,1001
1989,0599
1990,3259
1988,3428
1991,4024
1992,9008
1991,6273
1992,581
1989,3805
1995,7864
1990,1543
1992,4731
1991,2679
1988,8421
1990,2478
1987,5657
1989,8051
1989,459
1992,1599
1991,4288
1991,0845
1988,8044
1992,6393
1994,3188
1990,5531
1989,894
1991,035
1991,746
1987,8134
1995,8151
1989,7041
1985,2504
1991,007
1991,3838
1992,823
1995,5946
1988,187
1992,224
1992,1466
1989,6871
1985,165
1989,9251
1986,9029
1991,7029
1990,8593
1988,4316
1987,5327
1988,1582
