1987,9401
1984,2298
1982,8162
1990,5629
1986,5376
1987,1333
1989,2453
1988,3762
1985,773
1990,8445
1989,8048
1988,2797
1991,4778
1991,9431
1987,9807
1989,5477
1994,5895
1991,9702
1991,073
1990,7187
1993,9594
1985,8616
1988,2954
1986,3199
1995,457
1988,8271
1990,2447
1991,1171
1987,1199
1992,9344
1987,7288
1990,1819
1994,2111
1991,2987
1988,3454
1990,8023
1993,3224
1986,5032
1991,9122
1991,9553
1996,1749
1990,6231
1994,6455
1986,0316
1994,9781
1992,0739
1989,3534
1991,5876
1990,5588
1991,0847
1990,3298
1991,9423
1987,7721
1990,794
1989,2131
1990,0479
1986,5924
1990,179
1989,5906
1984,4414
1987,9132
1990,1294
1990,5688
1989,5125
1987,1953
1987,5228
1990,5591
1991,5026
1988,0436
1990,709
1987,8028
1990,9659
1986,6998
1990,3006
1988,8271
1993,795
1990,8638
1992,4746
1985,6434
1992,6048
1987,4914
1993,358
1989,5562
1990,3047
1988,9195
1991,495
1990,267
1992,0988
1995,9147
1989,9276
1990,4947
1995,4672
1988,283
1992,2587
1993,569
1990,3986
1988,7956
1990,2145
1991,9722
